country,year,fdi_inward,fdi_outward,fdi_net,gdp_current_usd,fdi_inward_pct_gdp,fdi_outward_pct_gdp,fdi_net_pct_gdp
Philippines,1990,550,22,528,50508286641.5746,1.0889302262478284,0.043557209049913136,1.0453730171979152
Philippines,1991,556,27,529,51784144942.727,1.0736877100412359,0.05213951109912477,1.0215481989421111
Philippines,1992,776,101,675,60422328242.1803,1.2842934434596667,0.16715674972864217,1.1171366937310243
Philippines,1993,1238,374,864,62036529147.1831,1.995598427279541,0.6028706072718484,1.3927278200076927
Philippines,1994,1591,302,1289,73159336915.2718,2.174705330971751,0.41279761782116203,1.761907713150589
Philippines,1995,1459,98,1361,84644328727.4825,1.7236831125418197,0.11577857781295292,1.6079045347288667
Philippines,1996,1520,182,1338,94648084429.0341,1.6059490365488336,0.19229126621834722,1.4136577703304867
Philippines,1997,1249,136,1113,94106317565.0846,1.327222265536193,0.14451739640746375,1.1827048691287292
Philippines,1998,1752,160,1592,74492416329.9142,2.351917263954348,0.2147869647446893,2.137130299209659
Philippines,1999,1247,133,1114,85640171045.1254,1.4560923743869363,0.15530095091697077,1.3007914234699656
Philippines,2000,2240,125,2115,83669788376.9213,2.6771909472378455,0.14939681625211193,2.5277941309857335
Philippines,2001,195,-140,335,78921234457.5487,0.2470817915359515,-0.17739205546170875,0.4244738469976602
Philippines,2002,1542,65,1477,84307345887.543,1.829022113988576,0.07709885694504374,1.7519232570435326
Philippines,2003,491,303,188,87039092974.2272,0.5641143344007364,0.3481194365039168,0.2159948978968197
Philippines,2004,688,579,109,95001999685.3314,0.7241952824980685,0.6094608554743921,0.11473442702367657
Philippines,2005,1851,981,870,107419977318.166,1.7231431677904234,0.9132379511628338,0.8099052166275896
Philippines,2006,2929,1290,1639,127652926368.069,2.2945028236600282,1.0105526263302957,1.2839501973297325
Philippines,2007,2824,5278,-2454,155980408673.403,1.8104837806349035,3.3837582840619764,-1.5732745034270728
Philippines,2008,1544,2174,-630,181624626327.361,0.8501049836805102,1.196974245156366,-0.3468692614758559
Philippines,2009,1990,1823,167,175974755881.372,1.1308440179576085,1.0359440425812665,0.09489997537634201
Philippines,2010,1070,2712,-1642,208368893151.144,0.5135123500530652,1.3015378442466474,-0.7880254941935823
Philippines,2011,2007,2350,-343,234216730291.32,0.85689865002542,1.0033442090481997,-0.1464455590227798
Philippines,2012,3215,4173,-958,261920540962.63,1.2274715026870329,1.5932312848251906,-0.36575978213815785
